id,unique_id,nickname,signature,verified,num_following,num_followers,num_videos,num_likes,createtime,scraping_status
6809575424701629446,amatistadentalgroup,Amatista Dental Group,Smile Design| Full reconstruction 10+cities • 3 countries 🇲🇽🇩🇴🇨🇴 In-house lab • 30k+ patients ⬇️FREE ONLINE CONSULTATION📲,false,6021,193100,1303,397000,2020-03-29T10:30:29.000000+0000,Public
54818206489546752,amberdokter,Amber Dokter,👩‍⚕️ Dokter is mijn achternaam 👀 Onder toezicht CvdM 📧 amber@zeth.nl,false,133,805100,807,43800000,1970-05-28T17:22:38.000000+0000,Public
7345015823083504646,amuridentalclinic,amuridentalclinic,Operasional Hari Senin-Sabtu (Minggu Tutup) 🕐10.00-20.00 WITA 📍Kota MAKASSAR & Kab.GOWA  📍Sulawesi Selatan  ✅KONSULTASI GRATIS (Klik Link WA)👇🏻,false,18,14000,638,610700,2024-03-11T08:12:41.000000+0000,Public
7149484833563493377,anak.kesehatan,anak kesehatan,*menerima mahasiswa/ i baru  LANGSUNG DM DI IG 🙏 IG @anak.kesehatan,false,191,49800,1427,382900,2022-10-01T10:12:35.000000+0000,Public
6777380478723851270,anaklo25,خلودي25 | KLOoODE25,N💍  Youtuber +4M | K25@powr.sa +966 58 232 7503,true,226,701500,97,3300000,2020-01-02T16:17:39.000000+0000,Public
6819502026071852034,analisa.widyaningrum,Analisa | Psychologist,Psychologist CEO @apdcindonesia  Instagram : @analisa.widyaningrum,false,1,395400,253,3100000,2020-04-25T04:30:46.000000+0000,Public
6778138869445690369,ananzaprili,"Ananza, Psikolog",Bantu km jadi versi terbaik diri sendiri✨ Self-Dev | Psychology | Lifestyle,true,633,804900,223,34400000,2020-01-04T17:20:35.000000+0000,Public
6783947811740271617,andreadianbimo,AndreaDianBimo,"Fitness & Lifestyle | NASM Coach Move stronger, feel better 🫶",true,72,809900,432,14400000,2020-01-20T09:02:15.000000+0000,Public
6782175634431198210,angeliacd,dr.angelia,Q and A di IG aja :  dr.angeliacd,false,27,390700,374,7100000,2020-01-15T14:25:18.000000+0000,Public
6971807907365028869,aprokodoctor,Aproko Doctor,The doctor that speaks your language,true,668,2600000,1439,74500000,2021-06-09T14:55:22.000000+0000,Public
6619555618519924738,arahvirtucio,Doc Arah,🩺Veterinarian🐾 🏥FIVE PAWS VETERINARY CLINIC👩🏻‍⚕️ ✨vetmed | pet health | lifestyle✨,true,565,424800,936,7400000,2018-11-03T08:56:35.000000+0000,Public
7156166190934901762,asakesehatan.id,Asa Kesehatan,Follow untuk GRATIS KONSULTASI kesehatan !  Produk rekomendasi OFFICAL 👇👇👇,false,40,78200,1954,1200000,2022-10-19T10:19:40.000000+0000,Public
6750970232870978561,asiyahhauraz,sisi,'02  Social Media Inquiries: +62817210988 DM for collabs,false,146,176100,448,12200000,2019-10-23T12:12:24.000000+0000,Public
7028473713872241665,asma_dental,Klinik Pergigian Asma,"1425781-T 📍Kota Tinggi, Johor Braces | Whitening | Denture | Crown | Xray",false,70,11000,341,128000,2021-11-09T07:47:38.000000+0000,Public
6781458999520936961,attarischaa,"Agata IP, M.Psi., Psikolog",#belajar1hal psikologi | relationship | mental health | self-dev | Pesan buku saya ⬇️,false,198,383000,1618,12800000,2020-01-13T16:04:23.000000+0000,Public
6776992777324659714,aymanalts,Ayman Alatas,dr. Ayman Alatas Sp.MK Skin and Gut Microbiome expert,true,345,2000000,4191,183900000,2020-01-01T15:13:10.000000+0000,Public
6787593174028174337,ayosehat.kemkes,Ayo Sehat Kemenkes RI,Akun TikTok Tempatnya Informasi Kesehatan Kemenkes RI,true,155,26500,362,132900,2020-01-30T04:48:07.000000+0000,Public
7035614166808314907,azakipimpleclinic,Azaki Pimple Clinic,"Dermatologists ACNE, ACNE SCARS, MARKS Effective online consult Budget friendly",false,0,304800,912,2800000,2021-11-28T13:36:14.000000+0000,Public
7451820883314918407,badangizinasional.ri,badangizinasional.ri,Akun resmi Badan Gizi Nasional Republik Indonesia,true,2,126100,469,561900,2024-12-24T03:50:52.000000+0000,Public
6823840086816228358,beachgem10,Beachgem10,"Mom of 4. Peds ER doc. DrBeachgem@underscoretalent.com PO Box 57 St. Pete, FL 33731 Views are my own",true,2878,2700000,2518,95100000,2020-05-06T21:04:39.000000+0000,Public
7060389203028608001,bektimd,DokterDesa🩺👨‍🌾,New mom ngurus newborn🤰👶🏻 Senang belanja perabotan rumah ❤️‍🔥 Seorang dokter 🩺💊,false,5638,46500,3311,194600,2022-02-03T07:56:02.000000+0000,Public
7490394707937149957,betoelbotiquin,Beto EL Botiquín 👨🏻‍⚕️,👨🏻‍⚕️ Enfermero Especialista 🎙️ Podcast: @betoelenfermero ❤️ Principal: @Beto eL Enfermero 👨🏻‍⚕️ @Beto El Enfermo1 👨🏻‍⚕️   👇 Episodio más reciente,false,259,43900,1289,604800,2025-04-07T02:37:01.000000+0000,Public
7264590986189177862,bgsadikin,Budi Gunadi Sadikin,Menteri Kesehatan Republik Indonesia,true,0,317900,458,5300000,2023-08-07T14:43:15.000000+0000,Public
6588963822694334466,bicara.kesehatan,BicaraKesehatan,"",false,26,57300,203,473900,2018-08-12T22:24:47.000000+0000,Public
7014093221744477186,bicaraasikecil,Bicarasikecil (Dokter Anak),Solusi Tumbuh Kembang Si Kecil 👶🏻❤️ 📍SOLO Klinik @Klinik Anak Kids First,false,313,1700000,780,15100000,2021-10-01T13:43:59.000000+0000,Public
6902232548199810049,bpjskesehatan_ri,BPJS KESEHATAN RI OFFICIAL,"""Dengan Gotong Royong, Semua Tertolong""  #BPJSKesehatan #BPJSKita",true,15,332900,1003,1200000,2020-12-04T03:07:26.000000+0000,Public
6950259953887069186,bpk.ri,Badan Pemeriksa Keuangan,Akuntabilitas untuk semua!,false,28,24100,367,79700,2021-04-12T13:18:18.000000+0000,Public
6891782465762345986,brighty.id,Brighty Indonesia,Your Whole Body Deserves To Glow✨ #BeBrightWithBrighty BPOM | Dermatology Tested,true,650,430300,2392,3800000,2020-11-05T23:15:47.000000+0000,Public
6740851857205789698,brin_indonesia,BRIN,Akun Resmi Badan Riset dan Inovasi Nasional Republik Indonesia,true,49,28300,1029,217800,2019-09-26T05:47:56.000000+0000,Public
7171347784238466074,bukan.dokter.hewan,La Tondha,No bio yet,false,325,22100,124,156900,2022-11-29T08:12:00.000000+0000,Public
6577685148195930113,bukandoktercinta_,Bukandoktercinta,❤️ dokdin ❤️ trainer filler&thread  💉Health 🏥Aesthetics 👩‍⚕️Sex 🩺Anti Aging,false,222,2600000,1742,33200000,2018-07-13T12:57:46.000000+0000,Public
6704737033636119553,bukandoktertiktok,MedicalBruder👨‍⚕️,Health|Relationship|Sex Bantu masyarakat hidup Sehat⬇️,false,108,191700,414,2500000,2019-06-20T22:03:59.000000+0000,Public
7276663750769001477,buku.edukasi4,BUKU EDUKASI,"",false,32,115100,20000,1800000,2023-09-09T03:31:44.000000+0000,Public
7262943570063426565,bunda.rahayuu,kesehatan dan kecantikan,Solusi Tubuh Sehat ✨ 👇cek disini👇,false,4,68100,2176,541700,2023-08-03T04:10:26.000000+0000,Public
6949505374865294341,bundakamaray,Bunda Kamaray,"Channel Youtube  bunda Kamaray ,Etkamarara",false,39,347800,10800,2400000,2021-04-10T12:30:09.000000+0000,Public
6601071155392643074,byancalau,dr. Byanca Lau,Dokter Manusia Yang hobi Naik Kuda🐴🥰❤️ Business inquiries: WA: 0877-8558-9252 (Kak Rare),true,2314,222200,288,2700000,2018-09-14T13:27:25.000000+0000,Public
7239242831096939526,bydrshiba.ph,Dr. Shiba & Prof. Bengal,🐶 all-around dog care for your furry friend 🐾 follow my bff: @Prof. Bengal ✨,true,116,152900,807,814100,2023-05-31T07:19:27.000000+0000,Public
7346467854303396866,bydrshiba.th,Dr Shiba TH,🍪 อาหารเสริมในรูปแบบขนม 🔬 ทดสอบในห้องปฏิบัติการที่เยอรมัน 🌱 ปลอดภัย ยั่งยืน,false,31,38300,523,218700,2024-03-15T06:07:19.000000+0000,Public
7041462753366049818,byzoeskincare,Byzoe,Byzoe Official Store 🥇No.1 Basic Skincare TikTok🥇 100% Produk Lokal Indonesia,false,173,797600,10500,10400000,2021-12-14T07:51:45.000000+0000,Public
7421116405082702854,cak.sam51,Cak Sam dokter hewan,Dokter Hewan Muhammad Samsuddin,false,4184,10700,1795,121500,2024-10-02T10:01:49.000000+0000,Public
7156176438206858266,ceritadok,dr. Gusti | Edukasi Kesehatan,Siang Live @RS Happy Land Medical Centre 🏥,false,3,162800,246,816600,2022-10-19T10:59:26.000000+0000,Public
6643672165836046338,chillingbosssw,heedzeed,instagram ⬇️,false,651,173100,1214,16900000,2019-01-07T08:41:06.000000+0000,Public
6619176333971931138,dailyeffect.storevn,Daily Skincare,★ TIKTOK MALL CHÍNH HÃNG ★,false,2,604100,148,7600000,2018-11-02T08:24:46.000000+0000,Public
6905221471992857602,damessa.dentalclinic,Damessa Dental Clinic,Konsultasikan dengan Dokter Gigi 🧑‍⚕️250+ Dentist 📍 23 Cabang di JABODETABEK,false,0,12400,594,198600,2020-12-12T04:25:59.000000+0000,Public
7177748060972729349,danteveteriner,Dante Veteriner 🐾,For collaborations / İşbirlikleri için : dr.dantecollab@gmail.com  ANKARA,false,3,1300000,701,43900000,2022-12-16T14:08:21.000000+0000,Public
7186561186317976603,davienaskincare.haiga,DAVIENASKINCAREJAWA,"""LEADER DAVIENA SKINCARE"" @HAIGA SOVIA  2026 open agen, reseller, affilite  coming soon series burgundy",false,87,731900,1811,8000000,2023-01-09T08:07:46.000000+0000,Public
6721318124316001286,dentaldigest,Dental Digest,@Fat Glob Toothpaste...Out NOW,false,692,9800000,497,225200000,2019-08-04T14:27:05.000000+0000,Public
6708406933462320129,dermasterid,Dermaster Indonesia,No.1 Aesthetic Beauty Clinic in Indonesia 📞: 081198893620,false,3,414600,1572,3800000,2019-06-30T19:25:04.000000+0000,Public
6765585846651094022,dermdoctor,DermDoctor | Dr. Shah,Board Certified Derm  Founder of @Remedy Science Shop Favorite Skincare ⬇️,true,996,17900000,1569,575800000,2019-12-01T21:28:27.000000+0000,Public
7236600113735828482,dianahlihukumkesehatan,MALPRAKTEK TRAUMA CENTER,"",false,2639,14200,2384,254000,2023-05-24T04:24:22.000000+0000,Public
6730556766918067202,dionharyadi,dr. Dion Haryadi,👇Business/Event Inquiries  WA 0823‑8172‑8283 (Valent)👇,false,80,500600,1377,18400000,2019-08-29T11:57:44.000000+0000,Public
7050658375809713153,dochs_medic,dochs medic,OFFLINE STORE JL MUARA UTARA 1 NO 9 BANDUNG WA : 0812-2229-0353,false,122,25700,2067,110100,2022-01-08T02:35:27.000000+0000,Public
6784926612473218053,doclaurasalazar,Doc Laura Salazar,🌈⚕️Médica y sexóloga educativa  Te ayudo a vivir tu sexualidad bien chido 😎 Jueves de preguntas y respuestas en mi IG 💬 📍CDMX | ♾️ Autista | ⚡️ TDAH,true,411,7200000,289,100900000,2020-01-23T00:20:30.000000+0000,Public
6970995522468070402,doctor.incognito_99,dr. Incognito,"Organik, jujur, bertanggung jawab akun random : @noir_noir_yellowcart,  IG/threads: abelina_md, X : IncognitoD1999 FAST RESPONSE : +628127102728 (dr. Hani | PA)",false,1286,745200,1321,51500000,2021-06-07T10:22:54.000000+0000,Public
6948829470229300229,doctorbayteroficial,Doctor Bayter Oficial,Médico Intensivista🩺 Canal Oficial de la Dieta Keto Perfecta @doctorbayter,false,1,556500,85,2900000,2021-04-08T16:47:18.000000+0000,Public
7060575704550753282,doctorming6,Dr Ming,Healthy is very important💕,false,6,692900,669,11000000,2022-02-03T19:59:45.000000+0000,Public
6752190053991449606,doctorvic,Doctor Vic,Enseño la Medicina al 🌎 🦴Ortopedia y Cirugía de Columna 🔥Mi PODCAST: @Medicina Viral 📩 MARCAS: dr.vic@sunsetsocial.mx ⬇️Consultas⬇️,true,428,2800000,707,43700000,2019-10-26T19:05:56.000000+0000,Public
6784603245261718534,doctoryumper,Doctor Yumper,"Si te encanta aprender con humor, estás en el lugar correcto... 🫀🦷🧠👁️🫁",true,170,3400000,324,46400000,2020-01-22T03:25:40.000000+0000,Public
6822053279946802178,dodinosaurus,DodiHD,TopUp Diamond FF/ML? IG : @Dokterstore_,false,2,80400,10,2000000,2020-05-02T01:30:56.000000+0000,Public
7068939223185474587,dok_mayki,Dok Mayki Tindahan,FB Page : Doc Mayki Dental Clinic YT : DoK Mayki Email : Mayki6zais@icloud.com,false,300,467600,2549,14900000,2022-02-26T08:54:29.000000+0000,Public
7490962119883916295,dokter.bedah.anak,dr.Robin Bedah Anak,"RS indriati SOLO, RS Astrini WONOGIRI, RSUD ir.Soekarno Sukoharjo  Melayani juga area Solo Raya, Karanganyar,Pacitan,Klaten,Boyolali dll Konsul Telemedisine ↙️",false,5,19700,409,72400,2025-04-08T15:18:51.000000+0000,Public
7281425286155240454,dokter.duyhung,Dr Duy Hung 🇻🇳 🇮🇩,Dr Duy Hung Plastic Surrgery: Vietnam 🇻🇳 - Indonesia 🇲🇨  WhatsApp: (+62) 0812-268-666,false,3,445700,38,12600000,2023-09-21T23:28:56.000000+0000,Public
7319403076014752773,dokter.galih.offi,Dokter Galih Official,Dokter Spesialis Anak👶 🏥Brawijaya Hospital Tangerang 🏥RSU Hermina Ciledug,false,51,74600,301,463400,2024-01-02T07:42:09.000000+0000,Public
7000144985563808770,dokter.gigi.lisa,drg.Lisa,🏠Makassar🏠 🏥Klinik Asahi🏥,false,324,13000,12,13500,2021-08-24T23:37:42.000000+0000,Public
7002440298915726338,dokter.harmonospanak,dokter Harmono PD Sp.A,"dokter Harmono PD Sp.A, konsultasi gratis , gabung grup 2 WA: 👇👇👇",false,334,18300,209,80800,2021-08-31T04:04:41.000000+0000,Public
6810017141438743553,dokter.ikan.indonesia,dokter.ikan.indonesia,drh Citan. Drh spesialisasi ikan base Jakarta. WA 08128856464 utk appointment,false,59,116400,103,6600000,2020-03-30T15:04:34.000000+0000,Public
7553606069021787157,dokter.keras,Dokter Keras,"walaupun gue Keras, tapi gue mau lu sehat collab?",false,1,23300,18,118300,2025-09-24T10:49:22.000000+0000,Public
6573916583810105345,dokter.reni.anak,"dr. Reni Fahriani, SpA",✨Dokter Spesialis Anak & Konselor Laktasi✨ Praktek: Jl Batununggal Mulia XII no 44 Bandung. Reservasi (adm): 0895-35188-4622,false,161,29200,106,134800,2018-07-03T09:13:49.000000+0000,Public
7611140148973061140,dokter.yana,Dokter Yana,"",false,148,10400,36,16800,2026-02-26T11:50:59.000000+0000,Public
6971725648621224961,dokter_atan,dokter Atan,DM for Endorse (WA 081263237497) 260K+ on Instagram @dokterAtan,false,484,264900,603,5000000,2021-06-09T09:36:10.000000+0000,Public
7126913850166969370,dokter_daniel,dr.Daniel🦁,Real account dokter daniel  di larang curi Vidio denda 100juta,false,397,121400,188,1300000,2022-08-01T14:25:39.000000+0000,Public
6982036606678352898,dokter_darmika,dokter_darmika,Hypnotherapist | Private Healing | Public & In House Training | Online Webinar,false,1,278900,1008,5700000,2021-07-07T04:27:57.000000+0000,Public
6604639878654361602,dokter_ika,dr. Ika,Kulit Sehat bersama dr.Ika STOP Penyalahgunaan obat keras Awas Merkuncrit ☠️ SEHAT YUK ❤️,true,214,2600000,5043,65000000,2018-09-24T04:15:54.000000+0000,Public
7251407224010376198,dokter_orthopedi,dr.Ledy Kumala Devi SpOT,"",false,117,37600,373,1100000,2023-07-03T02:03:31.000000+0000,Public
6786191047800456194,dokteragung_bali,DOKTER AGUNG,Dokter Gokil Bali 🤩Edukasi & Hiburan itu wajib🤩,false,2466,329000,2168,4300000,2020-01-26T10:07:09.000000+0000,Public
7093920401915200539,dokteramiraobgyn,"dr.Amira,SpOG",Dokter obgyn pedalaman  RSUD Fakfak Papua Barat IG: AMIRAALI (amira.abdat19),false,375,2300000,1745,59400000,2022-05-04T16:34:13.000000+0000,Public
6969424077791609858,dokteranak.bandung,"dr. Ahmad Hafidz, SpA",Dokter Spesialis Anak RS Limijati / Hello Baby Clinic Let's make your child Optimal Growth and Development,false,95,11100,101,35500,2021-06-03T04:44:53.000000+0000,Public
7339344785679418374,dokteranak3,Dokter Shinta,dr Shinta Aprilia Parenting | MPASI  Order frozen food : dm @omamafood (ig),false,74,15000,716,483100,2024-02-25T01:26:10.000000+0000,Public
6911653319263208450,dokteranak_leonirma,"dr.Leonirma,M.Sc,Sp.A,CIMI","❤ Ibu, Dokter Anak, Laktasi, Pijat Bayi ❤ 📲 Tine +62813-3979-0002 (WA)",false,66,111800,371,1600000,2020-12-29T12:24:51.000000+0000,Public
7474608610448213012,dokteranak_visia,"dr. Visia Vrisca, Sp.A, CBCFF",👶🩺 Dokter Spesialis Anak 🤱 Konselor Laktasi dan MPASI 📍Medan,false,66,25800,177,56100,2025-02-23T13:38:53.000000+0000,Public
7394034038484337670,dokteranakbbs,dokteranakbbs,Board-Certified Pediatrician (Sp.A) 🩵Teman tumbuh si Kecil🩵  ✅ Praktisi Stunting ❌KONSUL DM❌ IG: @dokteranakbbs ❤️,false,21,16700,31,92000,2024-07-21T10:28:24.000000+0000,Public
6915663087299789825,dokteranandaprasetya,.ananda prasetya.,kerja ke cafe. pacaran❤🥰🙏,false,9085,84300,1228,906600,2021-01-09T07:44:47.000000+0000,Public
7205684339874792475,dokterandroidpekalongan,Dokter Android Pekalongan,Follow juga @servishppekalongan  Garansi 1 Bulan ☎️ 0822-2031-5106,false,66,202000,401,508100,2023-03-01T20:55:22.000000+0000,Public
6839893595219149825,dokteraura,andrew dr.aura,"konsultasi cek link wa /ig @andrew_gpw,atau ig yg ada tombol di samping ini +62 8111032067",false,21,128700,536,314000,2020-06-19T03:20:28.000000+0000,Public
7151009212293628929,dokterawetmuda,Dokter Awet Muda,"Satu-satunya Dokter di Dunia yang protokolnya jelas dan terbukti menyehatkan masyarakat Indonesia, gratis, selamanya",false,250,374800,106,488100,2022-10-05T12:47:57.000000+0000,Public
6785732536859935746,dokterayuu,Dokter Laktasi,Certified Breastfeeding Specialist ™  Bandung Appointment Konsultasi👇,false,13,22100,29,130700,2020-01-25T04:27:54.000000+0000,Public
7008156038399050779,dokterbangunan01,Dokter Bangunan,Facebook youtube tiktok instagram 👇👇👇 Dokter Bangunan,false,21,11600,477,147400,2021-09-15T13:44:41.000000+0000,Public
7153658878528619521,dokterbarbarreal,Dokterbarbarreal,Part of @dokterbarbar IG : Agiaprily,false,20,36000,321,2400000,2022-10-12T16:10:01.000000+0000,Public
6934945539084977154,dokterbicara2,dokterbicara,"yang kamu anggap normal… belum tentu benar 👀 dokter bahas kesehatan tubuh, rambut & kewanitaan",false,5,131500,344,1500000,2021-03-02T06:50:33.000000+0000,Public
7481200706701526032,dokterbrando.spy,dokter Brando,Dokter idaman semua 🩺 Contact: (dokterbrandospy@gmail.com),false,1,490100,184,7900000,2025-03-13T07:59:35.000000+0000,Public
6783205334674260997,dokterbruinebeer,Toto,Wat Dacht Je? Soms een beetje ongemakkelijk 😳 📩| Toto@MakersAvenue.nl,false,251,337000,432,19500000,2020-01-18T09:01:04.000000+0000,Public
6755708996068361217,doktercapit,Dokter Capit🕹,All About Capit Boneka Bussiness Inquiries: doktercapit@yahoo.com,false,100,172800,1193,5300000,2019-11-05T06:41:13.000000+0000,Public
7194777083867317249,doktercinta000,★𝐑𝐀𝐇𝐌𝐀𝐓-𝐃𝐓★,"JANGAN KEPO,NGGA ADA YANG ISTIMEWAH GORONGTALO/MAKASSAR",false,28,133900,329,77200,2023-01-31T11:29:39.000000+0000,Public
7203898589407511579,doktercintanyakamu,adinda guLvinar,OWNER GULVINAR PARFUM CARA ORDER BARANG VIA DM/WAWA 081281021334/082258989393,false,53,163300,379,513900,2023-02-25T01:25:45.000000+0000,Public
7375750757181031430,dokterdetektif,DokterDetektif,2nd = dokterdetektifhero Selain itu dipastikan bukan akun resmi DokTif 😘,true,144,2800000,430,39400000,2024-06-02T03:59:56.000000+0000,Public
6922415251184157698,dokterdilaa,dilaaaa4499,Semua VT konten aja ya guys jangan di bawa serius,false,247,26300,291,150300,2021-01-27T12:26:38.000000+0000,Public
6534508407062642690,dokterelvijuwita,dr Elvi Juwita,📍BIREUEN | SIGLI | KEC KUTABLANG  📞082273318944,false,242,159200,1901,3300000,2018-03-19T04:29:58.000000+0000,Public
7528305037656294418,dokterfakta.id,Dokter Fakta,Follow untuk info dan tips kesehatan🩺 Konsultasi +62 857-0395-4610,false,1,361000,241,7000000,2025-07-18T06:28:27.000000+0000,Public
6710609739443930113,doktergabutreal,DokterGabut👩🏻‍⚕️,business Inq DM Instagram : @haifarlin 🤏🏼 No Agency. No Family 🥳  #SINGLEFIGHTER,false,970,118000,1661,1600000,2019-07-06T17:53:04.000000+0000,Public
7509464992996656146,doktergen,Dokter Gen Z,support dokter gen z ya  kode interlink 231020066,false,0,41800,56,486900,2025-05-28T11:59:27.000000+0000,Public
6812943634885002242,doktergigi.jo,drg. Jo,"",false,96,211300,453,6400000,2020-04-07T12:20:51.000000+0000,Public
6543987083475075074,doktergigi_,Dokter Gigi Tri Putra,Klinik @doktergigi_ Orthodontist 🔜  📍 Jakarta • Bekasi • Medan • Makassar WA 0812-8885-1470 ⬇️⬇️⬇️,false,587,4100000,705,64600000,2018-04-13T17:32:04.000000+0000,Public
6791306045127656449,doktergigi_cianjur,DOKTER GIGI CIANJUR,Reservasi Cianjur 081246298258 Ciranjang 081327614297,false,110,10600,180,12200,2020-02-09T04:55:57.000000+0000,Public
6815551400090698753,doktergigiadelia,Adelia Susanto | Orthodontist,Dokter Gigi Spesialis Behel Facial esthetic oriented treatment IG:@adeliasusanto Praktek : @Klinik Gigi Opal Dental Jogja Praktek Jakarta : Opal Dental Jakarta,false,79,13800,109,788000,2020-04-14T13:00:19.000000+0000,Public
6725177305318933505,doktergigiari,doktergigiari,DOKTER GIGI LUBUKLINGGAU  DM Konsul dan endorse Wawa +62889-7118-3695,false,104,26700,1867,31600,2019-08-15T00:02:40.000000+0000,Public
7428442795101340678,doktergigieka,doktergigieka,"📍: Jl.Ipik Gandamanah, Tegalmunjul, Kp. Krajan 2 (Samping toko baju hipopo), Kab. Purwakarta 📞 : Info & Reservasi hub admin 087736038538 IG: doktergigieka",false,50,16800,63,219600,2024-10-22T03:51:57.000000+0000,Public
7479388858423051272,doktergigikamu_,drg. Ivana | Dokter Gigi Kamu,Dental public health enthusiasm Dental Health Education 📩 Business inquiry: +6281266266419,false,102,12300,383,323100,2025-03-08T10:48:42.000000+0000,Public
7044209401373017090,doktergigikediri_blitar,drg. Yuniko Dimas Ardi Ansyah,"DOKTER GIGI 📍 Jl. Cendrawasih, Lampu Merah Pasar Sambi Kediri Ke Arah Timur, Kec. Ringinrejo, Kab. Kediri, Jawa Timur WA : 0851-5805-6770",false,1,11600,239,46800,2021-12-21T17:30:08.000000+0000,Public
7128326086718981147,doktergigilusi,Dokter Gigi Lusi J.,"",false,878,29700,1081,297100,2022-08-05T09:45:50.000000+0000,Public
7419190309702108165,doktergigimagang,eugenvfrmim,"Compra dando clic al enlace de abajo, y descubre más cosas en la tienda ✨",false,1,17700,258,142100,2024-09-27T05:27:35.000000+0000,Public
7125035552211108890,doktergigiperbatasan,Farhan dokter gigi perbatasan,"R.I.P CONAN🥀18.3.2023💔 Business inq 🗂️ Putricnisa30@gmail.com 2 cabang Klinik dokter gigi 📍balai karangan, sekayam sanggau 📍 kapuas, sanggau",false,11,52000,868,4600000,2022-07-27T12:56:53.000000+0000,Public
6849143474853135362,doktergigisemarang,dokterbedahmulutsema,Edukasi Gigi - Mulut (education about teeth & mouth) IG : doktergigisemarang.id,false,78,68300,271,956400,2020-07-14T01:34:43.000000+0000,Public
7217637484115772417,doktergigisemarang_,doktergigisemarang,"drg. Imacullati Ririn, SpOrt, MMRS Jl. Melati Utara 16 Semarang 0821 3733 7377",false,2,32400,1153,1100000,2023-04-03T01:59:41.000000+0000,Public
7065985085359096858,doktergigitantri,Drg.Tantri,"Do what’s right, not what’s usual🫶🏻 ❌No online consults❌  Dental care happens in person, not in DMs",false,66,30800,100,862500,2022-02-18T09:50:55.000000+0000,Public
6809857569416725506,doktergigiwawansumantri,doktergigiwawansumantri,Dentist Influencer’s  #doktergigiwawansumantri #dentist For Business/Collab & Reservasi Appointment WhatsApp,false,9,34300,704,341100,2020-03-30T04:45:21.000000+0000,Public
6782466530078082050,dokterhar,dokterHar,🧑‍⚕️Dokter KeSUKSESanMu🥇 📌Bebas Sakit💉 📌Bebas Finansial💰💵 📌Bebas Waktu⏰,false,164,120100,282,1800000,2020-01-16T09:14:07.000000+0000,Public
7108026145274921986,dokterhelm,DokterHelm,Authorized Distributor Helmet OPEN RESELLER  & PEMBELIAN GROSIR👇🏻 Join Live : Senin-Minggu / 11:00siang sampai 03:00malam @DokterHelmTgr @DokterHelmJkt,false,19,94300,1104,797400,2022-06-11T16:51:42.000000+0000,Public
7123608220791096346,dokterhewan86,Dokter Hewan 86,"“For collaboration, contact: hbb.plyg@gmail.com”",false,14,17900,85,685900,2022-07-23T16:38:07.000000+0000,Public
7275597029340922888,dokterhewanpampamdo,Dokter Hewan Pampamdo,"Klinik Hewan Pampamdo 🐾 since 2013 Jl. DR Saharjo No 15, Manggarai, Jaksel Dokter Hewan | Grooming | Titip Hewan Konsultasi ⬇️ 081297790055",false,47,17800,150,464200,2023-09-06T06:32:19.000000+0000,Public
